REG_ID,BAT_ID,SORTORDER
36,249,119443
36,250,119452
38,109,119512
38,110,121020
38,111,122475
38,112,122531
38,252,123247
38,113,123253
38,114,124193
38,115,124852
38,116,125781
38,117,126652
38,118,126660
38,120,127448
38,253,127452
38,122,127457
38,250,127459
38,144,127492
38,254,127513
38,242,127516
38,243,127547
40,144,127554
40,109,127576
40,110,128763
40,111,129928
40,114,129949
40,115,130563
40,116,130995
40,117,131554
40,118,131701
40,120,131708
40,121,132437
40,122,132440
40,157,132512
40,158,132848
40,159,133166
40,160,133569
42,144,133860
42,109,133876
42,110,135190
42,111,135861
42,112,135903
42,237,135911
42,159,135921
42,160,135961
42,183,135966
42,166,136037
42,185,136046
42,115,136047
42,116,136742
42,117,137833
42,118,138650
42,120,138665
42,121,138669
42,122,139363
42,161,139688
42,257,139692
42,258,139693
42,259,139754
42,260,139755
42,261,139821
42,262,139853
44,109,139854
44,110,141285
44,111,142530
44,112,142574
44,113,142653
44,114,143227
44,115,143698
44,116,144564
44,117,145370
44,118,145428
44,120,145436
44,263,146228
46,109,146259
46,110,146301
46,111,147607
46,112,147671
46,159,147698
46,265,148529
46,160,148548
46,183,148571
46,166,149401
46,187,149453
46,167,150053
46,188,150079
46,189,150892
46,190,150901
46,191,151581
46,118,151609
46,120,152297
46,121,152585
46,122,153119
46,161,153753
46,162,154350
46,163,155848
46,123,155856
46,124,155867
46,125,156392
46,126,156888
46,127,157535
46,128,157540
46,131,158066
46,132,158093
46,133,158118
46,266,158126
46,267,158128
46,171,158179
46,172,158182
46,173,158189
46,144,158196
48,109,158209
48,110,159234
48,269,160321
48,270,160353
48,271,160373
48,272,160732
48,273,161087
48,274,161419
48,275,161543
48,276,162732
48,277,163134
48,278,163729
48,279,163910
48,280,164791
48,281,164797
48,282,165122
48,283,165730
48,284,166526
48,285,167074
48,286,167577
48,287,167581
48,288,167583
48,144,167592
48,289,167599
138,614,504016
138,615,504017
138,616,504021
138,617,504025
138,618,504027
138,619,504030
138,144,504031
138,242,504056
138,620,504058
138,621,504061
138,622,504123
138,623,504127
138,624,504253
140,109,504257
140,110,505601
140,111,507010
140,112,507308
140,113,507844
140,114,507872
140,115,507892
140,116,508720
140,117,509529
140,118,510390
140,120,510969
140,121,511657
140,122,512328
140,161,512978
140,162,512986
140,163,512992
140,123,513973
140,124,514585
140,125,515364
140,126,515368
140,127,515636
140,128,516076
140,129,516080
140,131,516084
140,633,516093
140,144,516095
140,634,516117
140,635,516118
140,636,516119
140,637,516122
140,638,516125
140,639,516126
140,640,516130
140,641,516134
140,642,516156
140,643,516237
140,644,516298
140,645,516308
140,646,516319
140,647,516322
140,648,516394
140,649,516397
140,650,516419
125,580,464553
125,581,464601
125,454,464887
